FID_,OBJECTID,OA11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,other,Total_km,Average_km
,2110,E00075741,364935.170999999970000,189994.886000000000000,145,36,7,22,44,4,5,4,11,9,3,2977.000000000000000,22.399999999999999
,2111,E00075748,364238.604999999980000,189822.141999999990000,180,50,7,20,57,6,3,6,6,13,12,2344.800000000000200,15.100000000000000
,2112,E00075749,364089.224999999980000,189655.168999999990000,113,42,1,11,30,4,4,2,2,6,11,1077.500000000000000,11.199999999999999
,2113,E00075736,364132.075000000010000,190198.690000000000000,136,44,5,17,33,2,5,3,4,12,11,1917.800000000000000,17.000000000000000
,2114,E00075737,364756.849999999980000,189985.018000000010000,132,32,1,17,41,6,3,2,4,12,14,1799.500000000000000,17.000000000000000
,2115,E00075734,364713.311999999980000,189590.443999999990000,160,48,5,21,51,3,4,2,6,9,11,2193.000000000000000,15.699999999999999
,2116,E00075735,364617.755000000000000,189325.407000000010000,190,57,12,26,51,8,2,5,11,11,7,3026.000000000000000,17.600000000000001
,2117,E00075732,364781.140000000010000,189418.432999999990000,136,35,3,16,47,6,3,5,5,12,4,2182.800000000000200,18.199999999999999
,2118,E00075733,364970.664999999980000,189614.198999999990000,175,36,6,28,58,4,3,3,3,23,11,1828.400000000000100,13.000000000000000
,2119,E00075730,364504.663999999990000,190279.706999999990000,153,35,8,24,46,7,3,1,5,10,14,2292.599999999999900,17.800000000000001
,2120,E00075731,363932.161000000020000,189803.986999999990000,213,54,6,31,75,6,7,5,6,14,9,2953.699999999999800,15.500000000000000
,2121,E00075738,364242.896000000010000,190114.106999999990000,133,31,8,15,36,7,4,4,4,17,7,1717.500000000000000,15.800000000000001
,2122,E00075739,363805.680999999980000,190109.601000000000000,101,16,6,13,22,3,1,2,4,24,10,1175.599999999999900,17.500000000000000
,2123,E00075097,359855.418999999990000,183753.128000000000000,167,15,16,38,30,2,9,5,7,27,18,2408.800000000000200,19.699999999999999
,2124,E00075096,360228.729999999980000,184269.255000000000000,170,16,23,33,39,2,3,8,5,28,13,1976.500000000000000,15.300000000000001
,2125,E00075095,360575.587999999990000,183863.456000000010000,188,18,22,51,41,7,4,7,6,20,12,2480.500000000000000,15.900000000000000
,2126,E00075093,360872.147000000000000,184373.203000000010000,184,15,17,47,44,5,2,6,5,33,10,2213.199999999999800,15.699999999999999
,2127,E00075091,355038.571000000000000,179944.196999999990000,174,6,35,54,20,1,3,2,8,26,19,2335.800000000000200,18.100000000000001
,2128,E00075090,357483.115999999980000,180531.386999999990000,323,48,67,89,28,11,5,6,6,36,27,2989.099999999999900,11.500000000000000
,2129,E00173055,368227.216000000010000,174268.458000000010000,167,15,26,42,23,5,1,3,4,37,11,1823.500000000000000,15.300000000000001
,2130,E00075099,357107.632999999970000,182563.616000000010000,175,11,29,48,25,6,6,4,5,32,9,2029.300000000000000,15.100000000000000
,2131,E00075098,357095.438000000020000,182188.874000000010000,179,6,27,43,30,6,3,2,4,37,21,1750.800000000000000,14.500000000000000
,2132,E00173088,363102.431999999970000,179778.679000000000000,159,10,40,49,15,3,3,8,6,14,11,2011.099999999999900,15.000000000000000
,2133,E00173043,362291.795999999970000,177417.647999999990000,152,38,28,38,8,5,2,5,7,16,5,1840.000000000000000,14.000000000000000
,2134,E00075266,370945.993000000020000,180769.901000000010000,183,26,35,19,50,5,5,4,4,13,22,1864.599999999999900,12.600000000000000
,2135,E00075267,370772.576999999990000,180715.581999999990000,187,31,45,22,45,3,4,4,5,7,21,2222.199999999999800,14.000000000000000
,2136,E00075264,370627.456000000010000,180666.117000000000000,189,22,49,22,57,4,2,5,3,16,9,2095.099999999999900,12.800000000000001
,2137,E00173061,364614.668000000010000,173453.125999999990000,166,20,33,54,20,3,2,1,4,11,18,1509.099999999999900,11.000000000000000
,2138,E00075265,370297.859000000000000,180861.708000000010000,172,24,36,30,50,1,0,1,9,12,9,2412.800000000000200,16.000000000000000
,2139,E00173096,366452.525000000020000,175133.969000000010000,207,15,30,87,25,4,2,9,6,13,16,2565.400000000000100,14.400000000000000
,2140,E00075262,371576.396000000010000,181192.807999999990000,157,36,25,17,44,7,2,2,4,10,10,1526.599999999999900,11.100000000000000
,2141,E00173041,361205.099999999980000,178005.524999999990000,143,34,25,49,11,1,2,3,4,7,7,1321.900000000000100,10.199999999999999
,2142,E00075263,370407.014000000020000,180732.712999999990000,184,20,49,24,43,7,3,1,8,11,18,2897.599999999999900,18.699999999999999
,2143,E00173040,362048.120000000000000,177619.752000000010000,158,32,21,46,15,3,3,10,4,17,7,1956.000000000000000,14.600000000000000
,2144,E00075260,370263.745999999980000,181010.870000000000000,205,37,31,43,52,4,5,4,3,10,16,1981.500000000000000,11.100000000000000
,2145,E00173089,362009.798000000010000,178391.285000000000000,268,34,32,80,9,8,9,11,44,12,29,8025.300000000000200,35.399999999999999
,2146,E00075261,371074.739000000000000,180880.059000000010000,229,58,29,35,62,4,3,5,7,12,14,2569.099999999999900,12.699999999999999
,2147,E00173049,366940.362000000020000,176341.122000000000000,243,38,37,92,17,3,1,4,9,27,15,2754.300000000000200,13.699999999999999
,2148,E00173080,361775.151000000010000,182044.616000000010000,284,61,55,78,23,6,9,11,13,13,15,3950.300000000000200,15.400000000000000
,2149,E00173071,369722.378000000030000,190709.253999999990000,139,4,18,32,29,12,6,2,7,15,14,2386.500000000000000,21.699999999999999
,2150,E00173060,366543.661000000020000,175091.636999999990000,151,11,20,56,17,4,2,2,7,22,10,2088.300000000000200,17.500000000000000
,2151,E00173094,366817.874000000010000,175268.090999999990000,172,12,28,74,24,3,0,1,4,12,14,1717.800000000000000,11.800000000000001
,2152,E00075268,371758.271000000010000,181226.397000000000000,183,35,24,24,50,10,2,4,8,11,15,2739.900000000000100,17.500000000000000
,2153,E00075269,370143.655000000030000,181181.146000000010000,115,21,17,23,26,6,1,1,6,8,6,1866.400000000000100,18.500000000000000
,2154,E00075256,370356.137999999980000,181154.293000000010000,162,41,27,23,41,9,0,2,2,9,8,1442.200000000000000,9.900000000000000
,2155,E00075257,371252.798000000010000,180975.901000000010000,175,33,26,30,53,3,2,0,5,10,13,2206.900000000000100,14.500000000000000
,2156,E00075254,371248.614000000000000,181206.211000000010000,197,50,31,20,64,5,1,1,6,11,8,2415.000000000000000,13.600000000000000
,2157,E00075255,370921.791000000030000,181157.758999999990000,181,39,19,34,50,3,5,4,6,9,12,2339.500000000000000,14.600000000000000
,2158,E00075252,371080.456000000010000,181180.405999999990000,219,43,37,39,62,6,0,3,5,10,14,2152.000000000000000,11.000000000000000
,2159,E00075253,371435.457999999980000,181305.934000000010000,199,55,25,24,59,2,2,4,6,5,17,2195.900000000000100,12.400000000000000
,2160,E00075251,376916.423000000010000,178546.603000000000000,195,11,5,26,52,8,4,0,12,56,21,3191.199999999999800,27.000000000000000
,2161,E00075258,370664.455000000020000,180958.663999999990000,215,40,44,31,54,7,3,0,2,20,14,1717.000000000000000,9.500000000000000
,2162,E00075259,371444.325000000010000,181092.644999999990000,203,31,35,31,63,1,2,3,3,15,19,1975.000000000000000,11.699999999999999
,2163,E00075206,372254.238000000010000,192023.174999999990000,162,15,17,32,32,23,4,3,5,14,17,2358.800000000000200,18.000000000000000
,2164,E00075287,364648.985999999980000,177835.105000000010000,210,28,49,67,13,6,1,7,6,21,12,2451.800000000000200,13.900000000000000
,2165,E00075207,372205.206999999990000,191821.242000000000000,167,18,17,27,52,17,5,2,7,12,10,2845.000000000000000,19.600000000000001
,2166,E00075286,365028.995999999980000,178198.734999999990000,134,16,30,52,6,0,0,2,2,12,14,1038.200000000000000,9.600000000000000
,2167,E00075204,363084.804999999990000,181279.478000000000000,177,8,57,42,26,4,3,3,7,9,18,2422.500000000000000,16.100000000000001
,2168,E00075285,365575.620999999980000,178380.535000000000000,175,22,34,66,15,1,2,1,7,15,12,1979.200000000000000,13.400000000000000
,2169,E00075205,362691.477000000010000,181190.602000000010000,213,29,70,48,18,4,3,4,12,16,9,3112.199999999999800,16.600000000000001
,2170,E00075284,364290.560000000000000,176232.666000000000000,152,26,31,47,5,3,0,3,9,14,14,2173.599999999999900,17.500000000000000
,2171,E00075202,362269.039999999980000,181573.826000000000000,360,45,103,85,29,9,9,13,16,37,14,4687.800000000000200,15.199999999999999
,2172,E00075283,364918.992000000030000,176292.201000000000000,200,26,30,75,16,5,6,5,4,18,15,2072.199999999999800,12.400000000000000
,2173,E00075203,362978.635000000010000,181361.075000000010000,221,20,62,59,20,7,4,10,11,10,18,3762.599999999999900,19.500000000000000
,2174,E00075282,364413.972000000010000,176139.086000000010000,165,24,21,63,14,1,0,4,11,19,8,2357.599999999999900,17.100000000000001
,2175,E00075200,361893.408999999990000,181458.814000000010000,144,21,38,37,14,8,2,2,3,11,8,1459.599999999999900,11.699999999999999
,2176,E00075281,364533.119000000010000,176289.353999999990000,142,29,34,44,5,1,1,1,4,13,10,1075.200000000000000,9.000000000000000
,2177,E00075126,378351.630000000000000,173760.905999999990000,121,15,6,20,36,9,5,3,4,9,14,1890.000000000000000,19.300000000000001
,2178,E00075127,377653.061999999980000,173046.497000000000000,149,4,7,24,22,10,3,1,8,54,16,2178.400000000000100,27.600000000000001
,2179,E00075125,377940.805999999980000,173784.351000000000000,218,11,9,41,59,12,3,1,17,48,17,4162.399999999999600,27.199999999999999
,2180,E00075115,367084.245000000000000,170903.405999999990000,99,9,8,34,16,3,0,5,3,13,8,1306.599999999999900,16.800000000000001
,2181,E00075675,362439.004000000020000,180341.204999999990000,210,38,64,46,11,0,4,5,13,18,11,3299.099999999999900,18.199999999999999
,2182,E00075112,368263.157000000010000,169578.696999999990000,93,5,11,28,14,1,0,5,2,21,6,1061.800000000000000,16.100000000000001
,2183,E00075614,366570.455000000020000,177931.633999999990000,195,15,34,74,21,10,2,4,7,11,17,2877.599999999999900,17.199999999999999
,2184,E00075610,366167.375999999990000,178452.891000000000000,174,19,28,72,16,2,0,3,9,16,9,2273.300000000000200,15.300000000000001
,2185,E00075771,363986.181999999970000,178327.581000000010000,107,14,27,36,8,1,0,0,4,10,7,1099.900000000000100,12.199999999999999
,2186,E00075720,364725.636000000000000,191003.473999999990000,137,38,4,15,38,7,6,2,8,10,9,2180.099999999999900,18.500000000000000
,2187,E00075714,365253.505999999990000,191346.505000000000000,137,10,18,11,24,9,3,1,9,37,15,1938.400000000000100,22.800000000000001
,2188,E00075494,366627.636000000000000,172266.166999999990000,147,32,22,46,17,1,0,4,3,9,13,1569.000000000000000,12.600000000000000
,2189,E00075884,370970.609000000000000,183274.013000000010000,190,48,13,24,59,5,8,5,0,15,13,1688.300000000000000,10.400000000000000
,2190,E00075883,370506.245999999980000,183110.774000000000000,180,56,6,24,54,6,1,2,5,13,13,2021.000000000000000,13.100000000000000
,2191,E00075809,364401.235999999980000,172863.456999999990000,151,20,45,34,18,4,3,2,2,12,11,1204.099999999999900,9.400000000000000
,2192,E00075169,361875.420999999970000,182359.948999999990000,139,16,26,31,26,2,2,2,12,16,6,2892.599999999999900,24.699999999999999
