FID_,WZ11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,Not_fixed,Total_km,Average_km
,E33047728,363431.911000000020000,180637.883999999990000,628,60,85,208,73,21,31,28,51,32,39,12525.900000000000000,22.500000000000000
,E33047729,362245.851000000020000,182063.226000000000000,540,129,41,110,49,8,12,2,2,113,74,2630.300000000000200,7.500000000000000
,E33045506,372877.022000000000000,165919.984999999990000,4456,946,869,654,1471,258,49,59,54,77,19,48618.199999999997000,11.199999999999999
,E33045587,357871.556999999970000,173962.988000000010000,415,118,137,55,35,15,11,9,14,12,9,4170.699999999999800,10.600000000000000
,E33045507,372274.700000000010000,165038.454000000000000,661,119,123,90,227,37,10,15,20,11,9,9603.000000000000000,15.000000000000000
,E33045586,357719.606000000030000,173310.568999999990000,318,65,82,71,44,20,4,9,2,15,6,2808.699999999999800,9.500000000000000
,E33045504,366536.920999999970000,154204.601000000000000,294,118,64,29,49,4,5,2,3,8,12,2062.300000000000200,7.500000000000000
,E33045585,357825.859999999990000,173233.853999999990000,696,138,152,90,67,37,16,19,172,2,3,41001.599999999999000,59.299999999999997
,E33045505,366578.342000000000000,154314.856000000000000,317,156,62,22,55,7,2,2,0,6,5,1571.300000000000000,5.100000000000000
,E33045584,356953.038999999990000,173129.788999999990000,479,126,104,106,54,16,11,6,8,33,15,4250.600000000000400,9.900000000000000
,E33045502,367628.690999999990000,154792.443999999990000,461,137,132,37,112,15,4,0,10,2,12,4241.100000000000400,9.500000000000000
,E33045583,356740.000999999990000,173378.511999999990000,230,29,57,48,16,10,10,5,15,28,12,3451.199999999999800,18.199999999999999
,E33045503,366384.495000000000000,154201.446000000000000,261,90,53,30,55,10,5,3,5,6,4,2345.099999999999900,9.300000000000001
,E33045582,358638.929000000000000,172274.364000000000000,450,135,161,68,36,14,12,5,15,3,1,4508.500000000000000,10.100000000000000
,E33045500,374308.965000000030000,161946.100000000010000,348,82,79,48,95,12,2,1,0,20,9,2319.300000000000200,7.300000000000000
,E33045581,358715.556999999970000,172477.959999999990000,355,77,102,48,68,19,12,13,16,0,0,5283.399999999999600,14.900000000000000
,E33047626,353112.431999999970000,164177.804999999990000,239,11,10,28,34,8,4,2,4,99,39,1700.300000000000000,16.800000000000001
,E33047627,343647.833999999970000,164025.519000000000000,707,125,76,219,118,28,9,2,6,91,33,5494.000000000000000,9.400000000000000
,E33047624,346981.643999999970000,162831.287000000010000,365,57,38,47,51,25,4,2,5,90,46,2813.000000000000000,12.300000000000001
,E33047625,350277.293999999990000,163375.942000000010000,215,8,11,14,57,26,4,0,2,68,25,2132.000000000000000,17.500000000000000
,E33047622,355245.750999999990000,167704.882000000010000,299,27,64,54,19,8,1,2,1,69,54,1311.000000000000000,7.400000000000000
